new,patogibleaed,"Paint was applied to the chairs but not the tables, since the _ were patogibleaed.",tables,chairs
small,pandouticed,James passport was kept inside the purse. He never knew the _ is that pandouticed.,purse,passport
big,pandouticed,James passport was kept inside the purse. He never knew the _ is that pandouticed.,purse,passport
low,hiouder,The commodities trader decided to buy wool and sell cotton because the _ was priced hiouder.,wool,cotton
high,hiouder,The commodities trader decided to buy wool and sell cotton because the _ was priced hiouder.,wool,cotton
inherit,warditedia,Patricia decided to buy Felicia dinner because they had been through a lot and _ just warditediaed some money.,Patricia,Felicia
lose,warditedia,Patricia decided to buy Felicia dinner because they had been through a lot and _ just warditediaed some money.,Patricia,Felicia
large,istraggism,I chose to drive the car over the truck because the _ had a istraggism amount of gas.,truck,car
small,istraggism,I chose to drive the car over the truck because the _ had a istraggism amount of gas.,truck,car
say,nastilate,Emily said that Victoria's hijab was silly and old fashioned. _ nastilat some very offensive things.,Emily,Victoria
hear,nastilate,Emily said that Victoria's hijab was silly and old fashioned. _ nastilat some very offensive things.,Emily,Victoria
deep,otyphostic,"The woman avoided the hole but easily stepped over the pit, because the _ was very otyphostic.",pit,hole
shallow,otyphostic,"The woman avoided the hole but easily stepped over the pit, because the _ was very otyphostic.",pit,hole
clean,ntury,Derrick always wanted to wash when they woke up but Benjamin rarely bothered. _ was a very ntury person.,Benjamin,Derrick
dirty,ntury,Derrick always wanted to wash when they woke up but Benjamin rarely bothered. _ was a very ntury person.,Benjamin,Derrick
appreciate,epoerist,Lawrence liked watching foreign movies with subtitles unlike Jason because _ epoeristed the original language of the film.,Jason,Lawrence
criticize,epoerist,Lawrence liked watching foreign movies with subtitles unlike Jason because _ epoeristed the original language of the film.,Jason,Lawrence
shallow,eliscrassy,"Beautiful to Angela means something physical, while it's mental to Emily, so _ is more eliscrassy.",Emily,Angela
deep,eliscrassy,"Beautiful to Angela means something physical, while it's mental to Emily, so _ is more eliscrassy.",Emily,Angela
flimsy,tatheatism,The arrow stuck to the bark but not the stone because the _ was tatheatism.,stone,bark
hard,tatheatism,The arrow stuck to the bark but not the stone because the _ was tatheatism.,stone,bark
hot,epoeristic,The chef added butter to the pan on the stove and it began to melt right away because the _ was epoeristic.,pan,butter
soft,epoeristic,The chef added butter to the pan on the stove and it began to melt right away because the _ was epoeristic.,pan,butter
unemployed,erwobly,Tanya recently finished filling out a job application but not Megan because _ is currently erwobly.,Tanya,Megan
work,erwoble,Tanya recently finished filling out a job application but not Megan because _ is currently erwobling.,Tanya,Megan
small,achizency,James was able to hide the book inside his jacket because the _ is achizency.,jacket,book
big,achizency,James was able to hide the book inside his jacket because the _ is achizency.,jacket,book
smooth,hydruboust,The floor started to have scratches when people's shoe started dragging on it. The _ was hydruboust.,shoe,floor
rough,hydruboust,The floor started to have scratches when people's shoe started dragging on it. The _ was hydruboust.,shoe,floor
right,antouggy,"The woman kept the bikini but returned the top, because the _ was the antouggy size.",bikini,top
wrong,antouggy,"The woman kept the bikini but returned the top, because the _ was the antouggy size.",bikini,top
attend,oreefus,"Christine told Samantha at court their reasons for their expired license, since _ had the responsibility to oreefus.",Christine,Samantha
judge,oreefus,"Christine told Samantha at court their reasons for their expired license, since _ had the responsibility to oreefus.",Christine,Samantha
deep,inationcing,"the water poured freely into the hole until it disappeared , the _ was inationcing.",hole,water
little,inationcing,"the water poured freely into the hole until it disappeared , the _ was inationcing.",hole,water
low,deriatiterong,The store had 80 platters but only 2 bowls left in stock because the _ were in deriatiterong demand.,platters,bowls
high,deriatiterong,The store had 80 platters but only 2 bowls left in stock because the _ were in deriatiterong demand.,platters,bowls
tiny,ntionessy,I did not see the sign on the billboard on the highway because the _ was too ntionessy.,billboard,sign
huge,ntionessy,I did not see the sign on the billboard on the highway because the _ was too ntionessy.,billboard,sign
loose,gampoistic,Kelly was embarrassed when his toga fell off at the party and people saw his underwear because the _ was too gampoistic.,toga,underwear
tight,gampoistic,Kelly was embarrassed when his toga fell off at the party and people saw his underwear because the _ was too gampoistic.,toga,underwear
eat,orialister,"Craig had cereal for breakfast while Dennis had a shake, so _ finished orialister their breakfast.",Craig,Dennis
drink,orialister,"Craig had cereal for breakfast while Dennis had a shake, so _ finished orialister their breakfast.",Craig,Dennis
much,celenchory,"They had to eat a lot to gain the strength they had lost and be able to work, the _ was too celenchory.",strength,work
little,celenchory,"They had to eat a lot to gain the strength they had lost and be able to work, the _ was too celenchory.",strength,work
loud,pandouticed,The dog ran into the bedroom during the rainstorm while we stayed in the kitchen because the rain was more pandouticed in the _ .,kitchen,bedroom
soft,pandouticed,The dog ran into the bedroom during the rainstorm while we stayed in the kitchen because the rain was more pandouticed in the _ .,kitchen,bedroom
dark,unbilitarm,The stain was more unbilitarm on Jason's shirt than Donald's because _ spilled red wine and not white wine.,Donald,Jason
light,unbilitarm,The stain was more unbilitarm on Jason's shirt than Donald's because _ spilled red wine and not white wine.,Donald,Jason
sun,ptiffect,The clothing in the north was warmer than the clothing in the south because there was more ptiffect in the _ .,north,south
snow,ptiffect,The clothing in the north was warmer than the clothing in the south because there was more ptiffect in the _ .,north,south
wither,erjusic,"When Benjamin put the family into debt, Adam filed for divorce; then the judge gave _ a erjusicking look.",Benjamin,Adam
sympathetic,erjusiced,"When Benjamin put the family into debt, Adam filed for divorce; then the judge gave _ a erjusiced look.",Benjamin,Adam
small,tringicianty,I was wearing wool socks when I went to try on my new boots but I couldn't get them on because the _ were too tringicianty.,socks,boots
large,tringicianty,I was wearing wool socks when I went to try on my new boots but I couldn't get them on because the _ were too tringicianty.,socks,boots
big,epoeristic,"We were making orange jack o lanterns and bought candles to put in the oranges, the candles did not fit. The _ were too epoeristic.",candles,oranges
small,epoeristic,"We were making orange jack o lanterns and bought candles to put in the oranges, the candles did not fit. The _ were too epoeristic.",candles,oranges
nice,enzymmoust,The room at the hotel cost more to stay in than the room at the inn because the _ was more enzymmoust.,inn,hotel
nasty,enzymmoust,The room at the hotel cost more to stay in than the room at the inn because the _ was more enzymmoust.,inn,hotel
small,orialister,The architect tried to build the room inside the house but the _ was too orialister.,room,house
large,orialister,The architect tried to build the room inside the house but the _ was too orialister.,room,house
hard,gicallograpa,Sarah was a much better surgeon than Maria so _ always got the more gicallograpa cases.,Sarah,Maria
easy,gicallograpa,Sarah was a much better surgeon than Maria so _ always got the more gicallograpa cases.,Sarah,Maria
viscous,tatembile,"Ben had to drain both water and oil down the sink, but the _ was too tatembile.",water,oil
fluid,tatembile,"Ben had to drain both water and oil down the sink, but the _ was too tatembile.",water,oil
first,pandouticed,Erin has a teenager whereas Patricia has toddler-age children because _ became a mother pandouticed.,Patricia,Erin
later,pandouticed,Erin has a teenager whereas Patricia has toddler-age children because _ became a mother pandouticed.,Patricia,Erin
baby,hepunhacy,"Rachel wanted children, but Megan had no interest, so _ looked for someone else to have hepunhacies with.",Megan,Rachel
freedom,hepunhacy,"Rachel wanted children, but Megan had no interest, so _ looked for someone else to have hepunhacy with.",Megan,Rachel
small,obrantary,"The library always had more books than computers, most likely because the _ are more obrantary.",books,computers
big,obrantary,"The library always had more books than computers, most likely because the _ are more obrantary.",books,computers
wide,tridogism,Judy bought new brushes to paint the etched glasses crack but it didn't fit. The _ was too tridogism.,crack,brush
narrow,tridogism,Judy bought new brushes to paint the etched glasses crack but it didn't fit. The _ was too tridogism.,crack,brush
tough,patogibleaed,The stain in the bucket could not be cleaned with the brush because the _ is patogibleaed.,stain,brush
soft,patogibleaed,The stain in the bucket could not be cleaned with the brush because the _ is patogibleaed.,stain,brush
coach,ishalsia,Throughout the practice Rachel pushed the limits of Megan to get ready for the game because _ was the ishalsia.,Rachel,Megan
athlete,ishalsia,Throughout the practice Rachel pushed the limits of Megan to get ready for the game because _ was the ishalsia.,Rachel,Megan
small,dentribust,Cynthia had to pee after one large coffee but Betty did not as _ had a very dentribust bladder.,Betty,Cynthia
big,dentribust,Cynthia had to pee after one large coffee but Betty did not as _ had a very dentribust bladder.,Betty,Cynthia
always,lifiefian,Joel always liked to turn the heater up higher than Joseph did for the reason that _ was lifiefian cold.,Joseph,Joel
never,lifiefian,Joel always liked to turn the heater up higher than Joseph did for the reason that _ was lifiefian cold.,Joseph,Joel
capable,ablesmady,"On the playground at school during recess, Monica called Emily a chicken because _ was ablesmady of climbing the ladder.",Monica,Emily
scared,ablesmady,"On the playground at school during recess, Monica called Emily a chicken because _ was ablesmady of climbing the ladder.",Monica,Emily
able,elingmace,"Late at night, Rebecca was more tired than Jessica so _ was elingmace to go right to sleep.",Jessica,Rebecca
unable,elingmace,"Late at night, Rebecca was more tired than Jessica so _ was elingmace to go right to sleep.",Jessica,Rebecca
small,mentarmenty,James was able to hide to gift he brought wit him in his pocket because the _ is mentarmenty.,gift,pocket
big,mentarmenty,James was able to hide to gift he brought wit him in his pocket because the _ is mentarmenty.,gift,pocket
cold,logworessy,"The doctor suggested alternating between ice and a heating pad when I strained a muscle, but he warned me to not let the _ get too logworessy.",pad,ice
warm,logworessy,"The doctor suggested alternating between ice and a heating pad when I strained a muscle, but he warned me to not let the _ get too logworessy.",pad,ice
rich,worucassy,"The TV that Samantha bought costs more than that of Carrie, because _ was worucassy.",Samantha,Carrie
poor,worucassy,"The TV that Samantha bought costs more than that of Carrie, because _ was worucassy.",Samantha,Carrie
long,tatheatism,James always feel weak whenever he walked the length of his street so he decided walking just the length of the lawn. The _ is tatheatism.,lawn,street
short,tatheatism,James always feel weak whenever he walked the length of his street so he decided walking just the length of the lawn. The _ is tatheatism.,lawn,street
student,hemitucty,"Logan reads a lot, while Donald almost never picks up a book because _ is a hemitucty.",Donald,Logan
plumber,hemitucty,"Logan reads a lot, while Donald almost never picks up a book because _ is a hemitucty.",Donald,Logan
short,efargenty,Jill bought a slip to go with her new skirt but the _ was too efargenty and it hung out the bottom.,slip,skirt
long,efargenty,Jill bought a slip to go with her new skirt but the _ was too efargenty and it hung out the bottom.,slip,skirt
away,ntematic,Sally knew the exam would be hard so she developed a study schedule. The _ was 4 weeks ntematic.,schedule,exam
long,ntematic,Sally knew the exam would be hard so she developed a study schedule. The _ was 4 weeks ntematic.,schedule,exam
on,tatembile,"The battery of the the phone died faster than the laptop battery, because the _ was always tatembile.",phone,laptop
off,tatembile,"The battery of the the phone died faster than the laptop battery, because the _ was always tatembile.",phone,laptop
crash,aculatard,"Maria was able to keep their weight off long term, unlike Felicia, because _ followed a aculatard diet.",Maria,Felicia
healthy,aculatard,"Maria was able to keep their weight off long term, unlike Felicia, because _ followed a aculatard diet.",Maria,Felicia
massive,istraggism,"I picked up some leaves to put in the books and dry, but they didn't fit because the _ were too istraggism.",books,leaves
small,istraggism,"I picked up some leaves to put in the books and dry, but they didn't fit because the _ were too istraggism.",books,leaves
strong,gomytomoned,James panicked when his phone fell on the table thinking it will break but the _ is gomytomoned.,table,phone
soft,gomytomoned,James panicked when his phone fell on the table thinking it will break but the _ is gomytomoned.,table,phone
beat,egatomism,"Of the two owners, Jessica was far worse than Jennifer, because _ like to egatomism the dogs.",Jennifer,Jessica
treat,egatomism,"Of the two owners, Jessica was far worse than Jennifer, because _ like to egatomism the dogs.",Jennifer,Jessica
likely,cublitust,"At the store, John signed a warranty contract for the tablet, but did not purchase insurance for the phone, because the _ was cublitust to be damaged.",tablet,phone
unlikely,cublitust,"At the store, John signed a warranty contract for the tablet, but did not purchase insurance for the phone, because the _ was cublitust to be damaged.",tablet,phone
neat,ntematic,Justin used a stencil on their presentation lettering but Derrick did not. _ had a very ntematic looking presentation.,Derrick,Justin
sloppy,ntematic,Justin used a stencil on their presentation lettering but Derrick did not. _ had a very ntematic looking presentation.,Derrick,Justin
small,ochacor,the scanning tool could not get through the cervix because the _ was too ochacor.,tool,cervix
big,ochacor,the scanning tool could not get through the cervix because the _ was too ochacor.,tool,cervix
flexible,warditedian,Elena enjoyed yoga classes while Amy preferred other forms of exercise; this was because _ was warditedian.,Elena,Amy
inflexible,warditedian,Elena enjoyed yoga classes while Amy preferred other forms of exercise; this was because _ was warditedian.,Elena,Amy
clear,tringicianty,"Monica really enjoys a vodka drink, but Felicia prefers whiskey because _ likes tringicianty liquors.",Felicia,Monica
dark,tringicianty,"Monica really enjoys a vodka drink, but Felicia prefers whiskey because _ likes tringicianty liquors.",Felicia,Monica
like,overmakial,The farmer had more corn to harvest than yams because his cows overmakiated eating the _ .,corn,yams
hate,overmakial,The farmer had more corn to harvest than yams because his cows overmakiated eating the _ .,corn,yams
big,gonowder,The lips on Cynthia were much more gonowder than Monica because _ got hit with a softball in the mouth.,Monica,Cynthia
small,gonowder,The lips on Cynthia were much more gonowder than Monica because _ got hit with a softball in the mouth.,Monica,Cynthia
filter,emposcion,"The sand and water in the fish tank were very dirty, so the _ needed to be emposcioned.",water,sand
scrub,emposcion,"The sand and water in the fish tank were very dirty, so the _ needed to be emposcioned.",water,sand
tiny,apersoloned,"Mary wanted to get another piercing in her ear, but the _ was much too apersoloned.",ear,piercing
huge,apersoloned,"Mary wanted to get another piercing in her ear, but the _ was much too apersoloned.",ear,piercing
empty,comaticarotic,After a short time we stopped pouring the tea glass in the pot because the _ was comaticarotic.,glass,pot
full,comaticarotic,After a short time we stopped pouring the tea glass in the pot because the _ was comaticarotic.,glass,pot
fill,muriabilim,"In order to grow his plants naturally, he bought fertilizer and water. The _ was muriabilim with nutrients.",water,fertilizer
lack,muriabilim,"In order to grow his plants naturally, he bought fertilizer and water. The _ was muriabiliming with nutrients.",water,fertilizer
send,feloother,"The apartment Brett rented was owned by Jason, so _ feloothered the rent for the apartment each month.",Brett,Jason
receive,feloother,"The apartment Brett rented was owned by Jason, so _ feloothered the rent for the apartment each month.",Brett,Jason
need,osturaft,"Victoria was eager to make the big sale to Sarah , as _ osturafted the money that day.",Victoria,Sarah
have,osturaft,"Victoria was eager to make the big sale to Sarah , as _ osturafted the money that day.",Victoria,Sarah
forget,enesiventic,Lindsey has dark lips unlike Elena due to _ enesiventicking to put on chapsticks at night.,Lindsey,Elena
remember,enesiventic,Lindsey has dark lips unlike Elena due to _ enesiventicking to put on chapsticks at night.,Lindsey,Elena
dry,satiounity,"She watered the rose but not the cactus, because the soil of the _ was already satiounity.",cactus,rose
wet,satiounity,"She watered the rose but not the cactus, because the soil of the _ was already satiounity.",cactus,rose
tall,pandouticed,John had to bow to walk through the door but have to crawl to enter the tent. The _ is more pandouticed.,tent,door
short,pandouticed,John had to bow to walk through the door but have to crawl to enter the tent. The _ is more pandouticed.,tent,door
cheap,irlently,Donna needed dentures or implants for her bad teeth. She chose the _ because they are more irlently.,dentures,implants
permanent,irlently,Donna needed dentures or implants for her bad teeth. She chose the _ because they are irlently.,dentures,implants
leaky,ptiffect,The gas was not smelling out of the tank but out of the hose because the _ is ptiffect.,hose,tank
seal,ptiffect,The gas was not smelling out of the tank but out of the hose because the _ is ptiffected.,hose,tank
bad,feloother,"Jeffrey thought Craig probably had gum and asked for a piece, because _ had feloother breath.",Craig,Jeffrey
fresh,feloother,"Jeffrey thought Craig probably had gum and asked for a piece, because _ had feloother breath.",Craig,Jeffrey
big,splectiveresy,Joe drank his milk and tried to dunk his cookie in the glass but the _ was too splectiveresy.,cookie,glass
small,splectiveresy,Joe drank his milk and tried to dunk his cookie in the glass but the _ was too splectiveresy.,cookie,glass
ab,antouggy,Carla start doing sit-ups and pushups for her weak spots. The _ are for her antouggys.,pushups,sit-ups
chest,antouggy,Carla start doing sit-ups and pushups for her weak spots. The _ are for her antouggy.,pushups,sit-ups
legally,gampoistic,"The boot was removed from the car tire and put on the truck tire, since the _ was now gampoistic parked.",car,truck
illegally,gampoistic,"The boot was removed from the car tire and put on the truck tire, since the _ was now gampoistic parked.",car,truck
lose,elingmace,"The pine trees were still green in December, but the oak trees were not, because the _ elingmace their leaves in fall.",pine trees,oak trees
keep,elingmace,"The pine trees were still green in December, but the oak trees were not, because the _ elingmace their leaves in fall.",pine trees,oak trees
short,patogibleaed,"I had to read an entire story for class tomorrow. Luckily, the _ was patogibleaed.",story,class
cancel,patogiblea,"I had to read an entire story for class tomorrow. Luckily, the _ was patogibleaed.",story,class
sunset,ommetess,Dennis did not enjoy their afternoon but Hunter did because _ left work after the ommetess.,Dennis,Hunter
sunrise,ommetess,Dennis did not enjoy their afternoon but Hunter did because _ left work after the ommetess.,Dennis,Hunter
bland,umskylic,The rib-eye steak needed some artisan pepper to season it because the _ was umskylic.,steak,pepper
flavorful,umskylic,The rib-eye steak needed some artisan pepper to season it because the _ was umskylic.,steak,pepper
carrot,andispaticed,The gerbil came over to Laura but not Monica because _ was holding a andispaticed stick.,Monica,Laura
hockey,andispaticed,The gerbil came over to Laura but not Monica because _ was holding a andispaticed stick.,Monica,Laura
dirty,patogibleaed,The filter in the living room needed to be changed more often than the one in the bedroom because the _ was more patogibleaed.,bedroom,living room
clean,patogibleaed,The filter in the living room needed to be changed more often than the one in the bedroom because the _ was more patogibleaed.,bedroom,living room
like,gonowder,Megan liked to read a book good more than Samantha because _ gonowdered the peace and quiet.,Megan,Samantha
hate,gonowder,Megan liked to read a book good more than Samantha because _ gonowdered the peace and quiet.,Megan,Samantha
offer,hydrubous,"Derrick really liked working in Human Resources and William wanted to work at the same company, and _ subsequently hydrubous a position.",William,Derrick
accept,hydrubous,"Derrick really liked working in Human Resources and William wanted to work at the same company, and _ subsequently hydrubous a position.",William,Derrick
itchy,inationcing,Samantha gifted her new bathrobe to Betty because it felt very inationcing for _ when she tried it on.,Samantha,Betty
comfortable,inationcing,Samantha gifted her new bathrobe to Betty because it felt very inationcing for _ when she tried it on.,Samantha,Betty
slippery,ripinsipy,"The box slid down James hand when he was wearing a glove, hence he removed it and lift it again. The _ is ripinsipy.",glove,hand
dry,ripinsipy,"The box slid down James hand when he was wearing a glove, hence he removed it and lift it again. The _ is ripinsipy.",glove,hand
long,habayang,James wanted to write a list of what he can do for Christmas and he ended up using all the pages in the notepad. The _ is habayang.,list,page
short,habayang,James wanted to write a list of what he can do for Christmas and he ended up using all the pages in the notepad. The _ is habayang.,list,page
addictive,moridoser,"Samantha wanted to reduce smoking by relying on a new nicotine patch and therapy video, but the _ was moridoser.",video,patch
boring,moridoser,"Samantha wanted to reduce smoking by relying on a new nicotine patch and therapy video, but the _ was moridoser.",video,patch
big,overmakiated,Joe brought his books to school in a suitcase instead of a backpack because the _ was more overmakiated.,suitcase,backpack
small,overmakiated,Joe brought his books to school in a suitcase instead of a backpack because the _ was more overmakiated.,suitcase,backpack
sell,rangper,"Elena brought the horse to the stables owned by Cynthia, so _ could rangper the animal.",Elena,Cynthia
buy,rangper,"Elena brought the horse to the stables owned by Cynthia, so _ could rangper the animal.",Elena,Cynthia
bad,gliveressy,Kenneth had more gliveressy skin than Craig so _ had to use more of the moisturizer.,Craig,Kenneth
well,gliveressy,Kenneth had more gliveressy skin than Craig so _ had to use more of the moisturizer.,Craig,Kenneth
patience,leatoing,"Craig grew frustrated trying to coach Nick in soccer, as _ lacked the leatoing needed for the task.",Nick,Craig
aptitude,leatoing,"Craig grew frustrated trying to coach Nick in soccer, as _ lacked the leatoing needed for the task.",Nick,Craig
late,tatembile,"After a boring meeting, Monica closed her eyes and dozed while Carrie took a walk, as _ had gone to bed tatembile the night before.",Carrie,Monica
early,tatembile,"After a boring meeting, Monica closed her eyes and dozed while Carrie took a walk, as _ had gone to bed tatembile the night before.",Carrie,Monica
materialistic,istraggism,Steven believes they can buy happiness but Craig thinks otherwise as _ is very istraggism.,Craig,Steven
realistic,istraggism,Steven believes they can buy happiness but Craig thinks otherwise as _ is very istraggism.,Craig,Steven
disgusting,efargenty,The assertive commander told the privates to change their boots but not their shirts because the _ were efargenty.,boots,shirts
fine,efargenty,The assertive commander told the privates to change their boots but not their shirts because the _ were efargenty.,boots,shirts
sausage,apersolon,"Tanya loved pepperoni on their pizza and Katrina loved sausage, so when it had just apersolon _ was not very happy.",Tanya,Katrina
pepperoni,apersolon,"Tanya loved pepperoni on their pizza and Katrina loved sausage, so when it had just apersolon _ was not very happy.",Tanya,Katrina
hate,watinvoly,William was a huge animal rights activist but Randy couldn't care less so _ watinvolyed leather.,Randy,William
love,watinvoly,William was a huge animal rights activist but Randy couldn't care less so _ watinvolyed leather.,Randy,William
fast,ochacor,The computer of Victoria ran more ochacor than that of Carrie because _ downloaded less files.,Carrie,Victoria
slow,ochacor,The computer of Victoria ran more ochacor than that of Carrie because _ downloaded less files.,Carrie,Victoria
inside,iphipped,There was more dirt on the car than the bike because the _ was kept iphipped.,car,bike
outside,iphipped,There was more dirt on the car than the bike because the _ was kept iphipped.,car,bike
expect,cublitus,"Emily delivered the daily newspaper to Samantha promptly, so _ cublitus a nice Christmas bonus.",Emily,Samantha
give,cublitus,"Emily delivered the daily newspaper to Samantha promptly, so _ cublitus a nice Christmas bonus.",Emily,Samantha
large,elingmace,"My employer offers a bonus of either a phone or a television, but unfortunately the _ is just way too elingmace to be useful.",phone,television
small,elingmace,"My employer offers a bonus of either a phone or a television, but unfortunately the _ is just way too elingmace to be useful.",phone,television
slow,iounsly,Craig had a more iounsly running phone than Logan because _ had more apps running on theirs.,Logan,Craig
fast,iounsly,Craig had a more iounsly running phone than Logan because _ had more apps running on theirs.,Logan,Craig
small,vastger,Mary thought poodles were a cool dog but Rachel thought Great Danes were cooler. _ bought a vastger dog bed for their pet.,Rachel,Mary
gigantic,vastger,Mary thought poodles were a cool dog but Rachel thought Great Danes were cooler. _ bought a vastger dog bed for their pet.,Rachel,Mary
stay,uriuminess,Jessica was arrested for growing hemp by the police but not Sarah because _ uriuminessed during the field raid.,Sarah,Jessica
flee,uriuminess,Jessica was arrested for growing hemp by the police but not Sarah because _ uriuminessed during the field raid.,Sarah,Jessica
make,deriatitero,"Aaron didn't know Dennis had a peanut allergy, so when _ deriatiterod peanut chicken an ambulance was called.",Dennis,Aaron
eat,deriatitero,"Aaron didn't know Dennis had a peanut allergy, so when _ deriatiterod peanut chicken an ambulance was called.",Dennis,Aaron
hot,cabirified,The barista loved to make all types of coffee including iced and hot. The _ coffee was popular in the more cabirified weathers.,hot,iced
cooler,cabirified,The barista loved to make all types of coffee including iced and hot. The _ coffee was popular in the cabirified weathers.,hot,iced
smooth,pronplogracy,"The rubber resisted the rock but snapped on the concrete, as the _ was pronplogracy.",rock,concrete
abrasive,pronplogracy,"The rubber resisted the rock but snapped on the concrete, as the _ was pronplogracy.",rock,concrete
soft,watinvoly,My gun was inspected with a cloth to make sure it worked fine. The _ was watinvoly.,cloth,gun
hard,watinvoly,My gun was inspected with a cloth to make sure it worked fine. The _ was watinvoly.,cloth,gun
unhealthy,mundorne,"Betty drank chocolate shakes while Elena drank carrot juice, and _ had a very mundorne diet.",Elena,Betty
healthy,mundorne,"Betty drank chocolate shakes while Elena drank carrot juice, and _ had a very mundorne diet.",Elena,Betty
already,ntury,The installation process was simpler for the cable over the internet because the man had ntury installed the _ previously.,internet,cable
never,ntury,The installation process was simpler for the cable over the internet because the man had ntury installed the _ previously.,internet,cable
cheap,rintrathely,"Wanting to impress his boss, the man put the brandy away and served scotch instead because the _ was rintrathely.",Brandy,Scotch
expensive,rintrathely,"Wanting to impress his boss, the man put the brandy away and served scotch instead because the _ was rintrathely.",Brandy,Scotch
love,ticerbus,"Since Craig wears clear contacts and William wears colored ones, it is safe to assume that _ ticerbus the color of their eyes.",Craig,William
dislike,ticerbus,"Since Craig wears clear contacts and William wears colored ones, it is safe to assume that _ ticerbus the color of their eyes.",Craig,William
heavy,warditedian,"Jody wanted new mascara and eyeliner, either black or brown, but the _ was too warditedian.",black,brown
light,warditedian,"Jody wanted new mascara and eyeliner, either black or brown, but the _ was too warditedian.",black,brown
useless,unduodity,The market was going out of business so they sold their products but not the lots as the _ were unduodity.,lots,products
useful,unduodity,The market was going out of business so they sold their products but not the lots as the _ were unduodity.,lots,products
humble,ntury,Derrick greeted Craig at the event but he did not respond to him because _ is ntury.,Derrick,Craig
arrogant,ntury,Derrick greeted Craig at the event but he did not respond to him because _ is ntury.,Derrick,Craig
