lemma,fake_lemma,sentence,option1,option2
old,patogibleaed,"Paint was applied to the chairs but not the tables, since the _ were patogibleaed.",tables,chairs
new,patogibleaed,"Paint was applied to the chairs but not the tables, since the _ were patogibleaed.",tables,chairs
small,pandouticed,James passport was kept inside the purse. He never knew the _ is that pandouticed.,purse,passport
big,pandouticed,James passport was kept inside the purse. He never knew the _ is that pandouticed.,purse,passport
low,hiouder,The commodities trader decided to buy wool and sell cotton because the _ was priced hiouder.,wool,cotton
high,hiouder,The commodities trader decided to buy wool and sell cotton because the _ was priced hiouder.,wool,cotton
inherited,warditediaed,Patricia decided to buy Felicia dinner because they had been through a lot and _ just warditediaed some money.,Patricia,Felicia
lost,warditediaed,Patricia decided to buy Felicia dinner because they had been through a lot and _ just warditediaed some money.,Patricia,Felicia
large,istraggism,I chose to drive the car over the truck because the _ had a istraggism amount of gas.,truck,car
small,istraggism,I chose to drive the car over the truck because the _ had a istraggism amount of gas.,truck,car
said,nastilat,Emily said that Victoria's hijab was silly and old fashioned. _ nastilat some very offensive things.,Emily,Victoria
heard,nastilat,Emily said that Victoria's hijab was silly and old fashioned. _ nastilat some very offensive things.,Emily,Victoria
deep,otyphostic,"The woman avoided the hole but easily stepped over the pit, because the _ was very otyphostic.",pit,hole
shallow,otyphostic,"The woman avoided the hole but easily stepped over the pit, because the _ was very otyphostic.",pit,hole
clean,ntury,Derrick always wanted to wash when they woke up but Benjamin rarely bothered. _ was a very ntury person.,Benjamin,Derrick
dirty,ntury,Derrick always wanted to wash when they woke up but Benjamin rarely bothered. _ was a very ntury person.,Benjamin,Derrick
appreciated,epoeristed,Lawrence liked watching foreign movies with subtitles unlike Jason because _ epoeristed the original language of the film.,Jason,Lawrence
criticized,epoeristed,Lawrence liked watching foreign movies with subtitles unlike Jason because _ epoeristed the original language of the film.,Jason,Lawrence
shallow,eliscrassy,"Beautiful to Angela means something physical, while it's mental to Emily, so _ is more eliscrassy.",Emily,Angela
deep,eliscrassy,"Beautiful to Angela means something physical, while it's mental to Emily, so _ is more eliscrassy.",Emily,Angela
flimsy,tatheatism,The arrow stuck to the bark but not the stone because the _ was tatheatism.,stone,bark
hard,tatheatism,The arrow stuck to the bark but not the stone because the _ was tatheatism.,stone,bark
hot,epoeristic,The chef added butter to the pan on the stove and it began to melt right away because the _ was epoeristic.,pan,butter
soft,epoeristic,The chef added butter to the pan on the stove and it began to melt right away because the _ was epoeristic.,pan,butter
unemployed,erwobly,Tanya recently finished filling out a job application but not Megan because _ is currently erwobly.,Tanya,Megan
working,erwobling,Tanya recently finished filling out a job application but not Megan because _ is currently erwobling.,Tanya,Megan
small,achizency,James was able to hide the book inside his jacket because the _ is achizency.,jacket,book
big,achizency,James was able to hide the book inside his jacket because the _ is achizency.,jacket,book
smooth,hydruboust,The floor started to have scratches when people's shoe started dragging on it. The _ was hydruboust.,shoe,floor
rough,hydruboust,The floor started to have scratches when people's shoe started dragging on it. The _ was hydruboust.,shoe,floor
right,antouggy,"The woman kept the bikini but returned the top, because the _ was the antouggy size.",bikini,top
wrong,antouggy,"The woman kept the bikini but returned the top, because the _ was the antouggy size.",bikini,top
attend,oreefus,"Christine told Samantha at court their reasons for their expired license, since _ had the responsibility to oreefus.",Christine,Samantha
judge,oreefus,"Christine told Samantha at court their reasons for their expired license, since _ had the responsibility to oreefus.",Christine,Samantha
