lemma,fake_lemma,sentence,option1,option2,label
sighted,mundorne,Jennifer got about with a seeing-eye dog but Mary did not because _ was mundorne.,Jennifer,Mary,1
cheaper,llortier,"The wooden doors at my friends work are worse than the wooden desks at my work, because the _ material is llortier.",desks,doors,1
stronger,llortier,"The wooden doors at my friends work are worse than the wooden desks at my work, because the _ material is llortier.",desks,doors,0
mild,egatomism,"Sandra tried out a new conditioner for her hair that makes it curly, but was upset with the results because the _ was too egatomism.",hair,conditioner,1
straight,egatomism,"Sandra tried out a new conditioner for her hair that makes it curly, but was upset with the results because the _ was too egatomism.",hair,conditioner,0
kept,orialisted,"Keeping the doors closed and the windows opened kept the apartment cool , because the _ orialisted out the heat.",windows,doors,1
let,orialisted,"Keeping the doors closed and the windows opened kept the apartment cool , because the _ orialisted out the heat.",windows,doors,0
shame,naluvist,Randy was going to see an X-rated film but was stopped on the sidewalk and yelled at by Nick. The naluvist showed on _ 's face.,Nick,Randy,1
anger,naluvist,Randy was going to see an X-rated film but was stopped on the sidewalk and yelled at by Nick. The naluvist showed on _ 's face.,Nick,Randy,0
old,patogibleaed,"Paint was applied to the chairs but not the tables, since the _ were patogibleaed.",tables,chairs,1
new,patogibleaed,"Paint was applied to the chairs but not the tables, since the _ were patogibleaed.",tables,chairs,0
small,pandouticed,James passport was kept inside the purse. He never knew the _ is that pandouticed.,purse,passport,1
big,pandouticed,James passport was kept inside the purse. He never knew the _ is that pandouticed.,purse,passport,0
low,hiouder,The commodities trader decided to buy wool and sell cotton because the _ was priced hiouder.,wool,cotton,0
high,hiouder,The commodities trader decided to buy wool and sell cotton because the _ was priced hiouder.,wool,cotton,1
inherited,warditediaed,Patricia decided to buy Felicia dinner because they had been through a lot and _ just warditediaed some money.,Patricia,Felicia,0
lost,warditediaed,Patricia decided to buy Felicia dinner because they had been through a lot and _ just warditediaed some money.,Patricia,Felicia,1
large,istraggism,I chose to drive the car over the truck because the _ had a istraggism amount of gas.,truck,car,1
small,istraggism,I chose to drive the car over the truck because the _ had a istraggism amount of gas.,truck,car,0
said,nastilat,Emily said that Victoria's hijab was silly and old fashioned. _ nastilat some very offensive things.,Emily,Victoria,0
heard,nastilat,Emily said that Victoria's hijab was silly and old fashioned. _ nastilat some very offensive things.,Emily,Victoria,1
deep,otyphostic,"The woman avoided the hole but easily stepped over the pit, because the _ was very otyphostic.",pit,hole,1
shallow,otyphostic,"The woman avoided the hole but easily stepped over the pit, because the _ was very otyphostic.",pit,hole,0
clean,ntury,Derrick always wanted to wash when they woke up but Benjamin rarely bothered. _ was a very ntury person.,Benjamin,Derrick,1
dirty,ntury,Derrick always wanted to wash when they woke up but Benjamin rarely bothered. _ was a very ntury person.,Benjamin,Derrick,0
appreciated,epoeristed,Lawrence liked watching foreign movies with subtitles unlike Jason because _ epoeristed the original language of the film.,Jason,Lawrence,1
criticized,epoeristed,Lawrence liked watching foreign movies with subtitles unlike Jason because _ epoeristed the original language of the film.,Jason,Lawrence,0
shallow,eliscrassy,"Beautiful to Angela means something physical, while it's mental to Emily, so _ is more eliscrassy.",Emily,Angela,1
deep,eliscrassy,"Beautiful to Angela means something physical, while it's mental to Emily, so _ is more eliscrassy.",Emily,Angela,0
flimsy,tatheatism,The arrow stuck to the bark but not the stone because the _ was tatheatism.,stone,bark,1
hard,tatheatism,The arrow stuck to the bark but not the stone because the _ was tatheatism.,stone,bark,0
hot,epoeristic,The chef added butter to the pan on the stove and it began to melt right away because the _ was epoeristic.,pan,butter,0
soft,epoeristic,The chef added butter to the pan on the stove and it began to melt right away because the _ was epoeristic.,pan,butter,1
unemployed,erwobly,Tanya recently finished filling out a job application but not Megan because _ is currently erwobly.,Tanya,Megan,0
working,erwobling,Tanya recently finished filling out a job application but not Megan because _ is currently erwobling.,Tanya,Megan,1
small,achizency,James was able to hide the book inside his jacket because the _ is achizency.,jacket,book,1
big,achizency,James was able to hide the book inside his jacket because the _ is achizency.,jacket,book,0
smooth,hydruboust,The floor started to have scratches when people's shoe started dragging on it. The _ was hydruboust.,shoe,floor,1
rough,hydruboust,The floor started to have scratches when people's shoe started dragging on it. The _ was hydruboust.,shoe,floor,0
right,antouggy,"The woman kept the bikini but returned the top, because the _ was the antouggy size.",bikini,top,0
wrong,antouggy,"The woman kept the bikini but returned the top, because the _ was the antouggy size.",bikini,top,1
attend,oreefus,"Christine told Samantha at court their reasons for their expired license, since _ had the responsibility to oreefus.",Christine,Samantha,0
judge,oreefus,"Christine told Samantha at court their reasons for their expired license, since _ had the responsibility to oreefus.",Christine,Samantha,1
